"title","url"
"The Exit of the Trains review  Deeply moving first-hand accounts of Holocaust atrocity ","https://www.theguardian.com/film/2022/oct/18/the-exit-of-the-trains-review-deeply-moving-first-hand-accounts-of-holocaust-atrocity"
"Book of the day  Edda Mussolini by Caroline Moorehead review – painstaking portrait of the Duce’s daughter ","https://www.theguardian.com/books/2022/oct/18/edda-mussolini-the-most-dangerous-woman-in-europe-by-caroline-moorehead-review-painstaking-portrait-of-a-paradoxical-figure"
"Nigel Slater’s midweek dinner  Peppers with tahini and lemon ","https://www.theguardian.com/food/2022/oct/18/nigel-slater-midweek-recipe-peppers-with-tahini-and-lemon"
"Sexual healing  My ex told me I was a terrible lover. So why did they get back in touch wanting sex? ","https://www.theguardian.com/lifeandstyle/2022/oct/18/my-ex-told-me-i-was-a-terrible-lover-so-why-did-they-get-back-in-touch-wanting-sex"
"Consumer champions  I could lose the government’s cost of living payment as I’m paid weekly ","https://www.theguardian.com/money/2022/oct/18/i-could-lose-the-governments-cost-of-living-payment-as-im-paid-weekly"
"OFM Awards 2022  Best Producer – Pump Street, Orford ","https://www.theguardian.com/food/2022/oct/18/ofm-awards-2022-best-producer-pump-street-orford"
"Walking holidays  Six of the best city walks in Britain, chosen by Ordnance Survey map users ","https://www.theguardian.com/travel/2022/oct/18/six-of-the-best-city-walks-in-britain-chosen-by-ordnance-survey-users"
"Comfort Eating with Grace Dent  S4 E1: Dawn O’Porter, writer ","https://www.theguardian.com/lifeandstyle/audio/2022/oct/18/s4-e1-dawn-oporter-writer"
"Environment  Tell us what you think of Just Stop Oil’s tactics ","https://www.theguardian.com/environment/2022/oct/18/tell-us-what-you-think-of-just-stop-oils-tactics"
"UK patients  Are care shortages preventing you from being discharged from hospital? ","https://www.theguardian.com/society/2022/oct/17/uk-patients-are-care-shortages-preventing-you-from-being-discharged-from-hospital"
"Cost of living  How are you affected by the cost of living crisis?  ","https://www.theguardian.com/business/2022/jul/04/tell-us-how-are-you-affected-by-the-cost-of-living-crisis"
"Cars  Have you experienced UK price rises for car maintenance? ","https://www.theguardian.com/business/2022/sep/30/tell-us-have-you-experienced-uk-price-rises-for-car-maintenance"
"Brazil  Fearsome militias: mafia boom increases threat to democracy ","https://www.theguardian.com/world/2022/oct/18/brazil-militias-paramilitary-far-right-bolsonaro"
"Devon  Hardship and heartbreak as families lose homes to Airbnb lets ","https://www.theguardian.com/uk-news/2022/oct/18/hardship-heartbreak-devon-families-lose-homes-airbnb-lets"
"US  There’s lithium in them thar hills – but fears grow over ‘white gold’ boom ","https://www.theguardian.com/us-news/2022/oct/18/lithium-mining-nevada-boom-car-battery-us-climate-crisis"
"Travel  Relief tinged with unease as Japan reopens after two ‘really tough’ years ","https://www.theguardian.com/world/2022/oct/18/relief-tinged-with-unease-as-japan-reopens-after-two-really-tough-years-covid-tourists"
"BBC at 100  The next decade that could determine fate of broadcaster ","https://www.theguardian.com/media/2022/oct/18/bbc-at-100-the-next-decade-that-could-determine-fate-of-broadcaster"
"US  I was given a house for free – but it already belonged to someone else ","https://www.theguardian.com/us-news/2022/oct/18/detroit-house-free-property-tax"
"House to Home  Sign up to our free interiors email ","https://www.theguardian.com/lifeandstyle/2022/sep/28/sign-up-for-the-house-to-home-newsletter"
"Design Review  Get the newsletter for the way we live now ","https://www.theguardian.com/lifeandstyle/2020/sep/09/design-review-get-the-newsletter-for-the-way-we-live-now"
"Hear Here  Sign up for our curated weekly podcast newsletter ","https://www.theguardian.com/info/2017/may/10/hear-here-podcast-recommendations-sign-up-for-unexpected-audio-pleasures"
"Techscape  Our weekly guide to the world of technology ","https://www.theguardian.com/info/2022/sep/20/sign-up-for-the-techscape-newsletter-our-free-technology-email"
"From Dollys to doggies  The Magnum Square Print sale ","https://www.theguardian.com/artanddesign/gallery/2022/oct/18/the-second-magnum-print-sale-in-pictures"
"Sport  Banger racing championships ","https://www.theguardian.com/sport/gallery/2022/oct/18/banger-racing-championships-in-pictures"
"Art  Houston’s FotoFest Biennial 2022 ","https://www.theguardian.com/culture/gallery/2022/oct/18/houstons-fotofest-biennial-2022-in-pictures"
"Monday’s best photos  Raisin weekend and Neymar attends court ","https://www.theguardian.com/news/gallery/2022/oct/17/raisin-weekend-and-neymar-attends-court-mondays-best-photos"
"The Guardian picture essay  A year on the River Thames, part two ","https://www.theguardian.com/artanddesign/2022/oct/17/a-year-on-the-river-thames-part-two-in-pictures"
"From the agencies  Lyon’s festival of street art ","https://www.theguardian.com/artanddesign/gallery/2022/oct/17/lyons-festival-of-street-art-in-pictures"
"Live  Majority of Tory members think Liz Truss should resign, poll suggests, with MPs choosing unity candidate to replace her – live ","https://www.theguardian.com/politics/live/2022/oct/18/liz-truss-mini-budget-cabinet-backfire-conservatives-jeremy-hunt-uk-politics-latest"
"  ‘No one would do that’: estate agents deny making rude gesture to Kwarteng ","https://www.theguardian.com/politics/2022/oct/18/estate-agents-kwarteng-property-market"
"  Fears for Iranian climber Elnaz Rekabi after she competed in Seoul without a hijab ","https://www.theguardian.com/world/2022/oct/18/fears-for-iranian-climber-elnaz-rekabi-after-she-competed-in-seoul-without-a-hijab"
"Live  Russia-Ukraine war live: Zelenskiy says 30% of Ukraine’s power stations destroyed in past eight days after fresh Russian strikes ","https://www.theguardian.com/world/live/2022/oct/18/russia-ukraine-war-live-russian-plane-crash-death-toll-rises-to-13-zelenskiy-urges-troops-to-take-more-prisoners"
"  Glastonbury 2023: Emily Eavis addresses concerns over £340 ticket price ","https://www.theguardian.com/music/2022/oct/18/glastonbury-2023-ticket-prices"
"  Alarm over sharp rise in Airbnb listings in coastal areas of England and Wales ","https://www.theguardian.com/technology/2022/oct/18/sharp-rise-airbnb-listings-coastal-areas-england-wales"
"  Just Stop Oil protesters block Dartford Crossing for second day ","https://www.theguardian.com/uk-news/2022/oct/18/just-stop-oil-protesters-block-dartford-crossing-second-day"
"  My ex told me I was a terrible lover. So why did they get back in touch wanting sex? ","https://www.theguardian.com/lifeandstyle/2022/oct/18/my-ex-told-me-i-was-a-terrible-lover-so-why-did-they-get-back-in-touch-wanting-sex"
"  China defiant after protester beaten at Manchester consulate ","https://www.theguardian.com/uk-news/2022/oct/18/china-claims-hong-kong-protester-entered-manchester-consulate-illegally"
"  End rules stopping thousands of doctors working in GP surgeries, says GMC chief ","https://www.theguardian.com/society/2022/oct/18/end-rules-stopping-thousands-of-doctors-working-gp-surgeries-says-gmc-chief-nhs"
